,tasks,dbpedia_text_exact_match,best_coef,dbpedia_text_macro_f1,mnli_text_exact_match,mnli_text_macro_f1,qnli_text_exact_match,qnli_text_f1,sst2_text_exact_match,sst2_text_f1,trec_coarse_text_exact_match,trec_coarse_text_macro_f1,yelp_polarity_text_exact_match,yelp_polarity_text_f1
0,dbpedia_text,0.9898857142857143,1,0.989890306318508,,,,,,,,,,
1,mnli_text,,1,,0.8537952114111055,0.8532699270197096,,,,,,,,
2,qnli_text,,1,,,,0.933369943254622,0.9335038363171356,,,,,,
3,sst2_text,,1,,,,,,0.926605504587156,0.9279279279279279,,,,
4,trec_coarse_text,,1,,,,,,,,0.444,0.3822986179015205,,
5,yelp_polarity_text,,1,,,,,,,,,,0.9713947368421053,0.9713608220260835
