,tasks,dbpedia_text_exact_match,best_coef,dbpedia_text_macro_f1,mnli_text_exact_match,mnli_text_macro_f1,qnli_text_exact_match,qnli_text_f1,sst2_text_exact_match,sst2_text_f1,trec_coarse_text_exact_match,trec_coarse_text_macro_f1,yelp_polarity_text_exact_match,yelp_polarity_text_f1
0,dbpedia_text,0.9901857142857143,1,0.990188760399638,,,,,,,,,,
1,mnli_text,,1,,0.8542027508914927,0.8537010778259253,,,,,,,,
2,qnli_text,,1,,,,0.9324546952224053,0.9323556370302475,,,,,,
3,sst2_text,,1,,,,,,0.9369266055045872,0.938132733408324,,,,
4,trec_coarse_text,,1,,,,,,,,0.164,0.19971084399839212,,
5,yelp_polarity_text,,1,,,,,,,,,,0.9721315789473685,0.9721176377662515
