,tasks,dbpedia_text_exact_match,best_coef,dbpedia_text_macro_f1,mnli_text_exact_match,mnli_text_macro_f1,qnli_text_exact_match,qnli_text_f1,sst2_text_exact_match,sst2_text_f1,trec_coarse_text_exact_match,trec_coarse_text_macro_f1,yelp_polarity_text_exact_match,yelp_polarity_text_f1
0,dbpedia_text,0.9897142857142858,1,0.9897211005211002,,,,,,,,,,
1,mnli_text,,1,,0.8482934284258787,0.8481563881501804,,,,,,,,
2,qnli_text,,1,,,,0.9342851912868387,0.9342129375114532,,,,,,
3,sst2_text,,1,,,,,,0.9323394495412844,0.9339305711086227,,,,
4,trec_coarse_text,,1,,,,,,,,0.488,0.38293704426432223,,
5,yelp_polarity_text,,1,,,,,,,,,,0.9711842105263158,0.9712001262460219
