,tasks,dbpedia_text_exact_match,best_coef,dbpedia_text_macro_f1,mnli_text_exact_match,mnli_text_macro_f1,qnli_text_exact_match,qnli_text_f1,sst2_text_exact_match,sst2_text_f1,trec_coarse_text_exact_match,trec_coarse_text_macro_f1,yelp_polarity_text_exact_match,yelp_polarity_text_f1
0,dbpedia_text,0.9900428571428571,1,0.9900437662879144,,,,,,,,,,
1,mnli_text,,1,,0.8528782475802343,0.8525690169584123,,,,,,,,
2,qnli_text,,1,,,,0.933369943254622,0.933649289099526,,,,,,
3,sst2_text,,1,,,,,,0.9392201834862385,0.9398410896708286,,,,
4,trec_coarse_text,,1,,,,,,,,0.08,0.07792284168430957,,
5,yelp_polarity_text,,1,,,,,,,,,,0.9712894736842105,0.9713309683353042
