,tasks,dbpedia_text_exact_match,best_coef,dbpedia_text_macro_f1,mnli_text_exact_match,mnli_text_macro_f1,qnli_text_exact_match,qnli_text_f1,sst2_text_exact_match,sst2_text_f1,trec_coarse_text_exact_match,trec_coarse_text_macro_f1,yelp_polarity_text_exact_match,yelp_polarity_text_f1
0,dbpedia_text,0.9899571428571429,1,0.9899534549144448,,,,,,,,,,
1,mnli_text,,1,,0.8571574121242995,0.8563038010919337,,,,,,,,
2,qnli_text,,1,,,,0.9320885960095185,0.9315624423538091,,,,,,
3,sst2_text,,1,,,,,,0.9392201834862385,0.9402480270574972,,,,
4,trec_coarse_text,,1,,,,,,,,0.352,0.28161386512493974,,
5,yelp_polarity_text,,1,,,,,,,,,,0.9701842105263158,0.9701268225802199
