,tasks,dbpedia_text_exact_match,best_coef,dbpedia_text_macro_f1,mnli_text_exact_match,mnli_text_macro_f1,qnli_text_exact_match,qnli_text_f1,sst2_text_exact_match,sst2_text_f1,trec_coarse_text_exact_match,trec_coarse_text_macro_f1,yelp_polarity_text_exact_match,yelp_polarity_text_f1
0,dbpedia_text,0.9908571428571429,1,0.9908548883388086,,,,,,,,,,
1,mnli_text,,1,,0.8518593988792664,0.8515331417665705,,,,,,,,
2,qnli_text,,1,,,,0.9319055464030752,0.9319429198682766,,,,,,
3,sst2_text,,1,,,,,,0.9323394495412844,0.9352360043907794,,,,
4,trec_coarse_text,,1,,,,,,,,0.168,0.24996678021792174,,
5,yelp_polarity_text,,1,,,,,,,,,,0.9708421052631578,0.9708926601166394
