,tasks,dbpedia_text_exact_match,best_coef,dbpedia_text_macro_f1,mnli_text_exact_match,mnli_text_macro_f1,qnli_text_exact_match,qnli_text_f1,sst2_text_exact_match,sst2_text_f1,trec_coarse_text_exact_match,trec_coarse_text_macro_f1,yelp_polarity_text_exact_match,yelp_polarity_text_f1
0,dbpedia_text,0.9905714285714285,1,0.9905746788583948,,,,,,,,,,
1,mnli_text,,1,,0.853998981151299,0.853325375324096,,,,,,,,
2,qnli_text,,1,,,,0.9315394471901886,0.9309963099630996,,,,,,
3,sst2_text,,1,,,,,,0.9334862385321101,0.9336384439359267,,,,
4,trec_coarse_text,,1,,,,,,,,0.252,0.19827441077441077,,
5,yelp_polarity_text,,1,,,,,,,,,,0.9708421052631578,0.9707667141575643
