,tasks,dbpedia_text_exact_match,best_coef,dbpedia_text_macro_f1,mnli_text_exact_match,mnli_text_macro_f1,qnli_text_exact_match,qnli_text_f1,sst2_text_exact_match,sst2_text_f1,trec_coarse_text_exact_match,trec_coarse_text_macro_f1,yelp_polarity_text_exact_match,yelp_polarity_text_f1
0,dbpedia_text,0.9894285714285714,1,0.989435102469371,,,,,,,,,,
1,mnli_text,,1,,0.8527763627101376,0.8523759386450743,,,,,,,,
2,qnli_text,,1,,,,0.9330038440417353,0.9333333333333333,,,,,,
3,sst2_text,,1,,,,,,0.9311926605504587,0.9327354260089685,,,,
4,trec_coarse_text,,1,,,,,,,,0.292,0.2473166573779628,,
5,yelp_polarity_text,,1,,,,,,,,,,0.9706315789473684,0.9707255652903835
