,tasks,dbpedia_text_exact_match,best_coef,dbpedia_text_macro_f1,mnli_text_exact_match,mnli_text_macro_f1,qnli_text_exact_match,qnli_text_f1,sst2_text_exact_match,sst2_text_f1,trec_coarse_text_exact_match,trec_coarse_text_macro_f1,yelp_polarity_text_exact_match,yelp_polarity_text_f1
0,dbpedia_text,0.9888714285714286,1,0.9888803358703163,,,,,,,,,,
1,mnli_text,,1,,0.8546102903718797,0.8538940903278432,,,,,,,,
2,qnli_text,,1,,,,0.9330038440417353,0.9323475046210721,,,,,,
3,sst2_text,,1,,,,,,0.9369266055045872,0.9394939493949395,,,,
4,trec_coarse_text,,1,,,,,,,,0.404,0.3823593073593073,,
5,yelp_polarity_text,,1,,,,,,,,,,0.9702368421052632,0.9703701763118598
