,tasks,dbpedia_text_exact_match,best_coef,dbpedia_text_macro_f1,mnli_text_exact_match,mnli_text_macro_f1,qnli_text_exact_match,qnli_text_f1,sst2_text_exact_match,sst2_text_f1,trec_coarse_text_exact_match,trec_coarse_text_macro_f1,yelp_polarity_text_exact_match,yelp_polarity_text_f1
0,dbpedia_text,0.9909857142857142,1,0.9909923056007207,,,,,,,,,,
1,mnli_text,,1,,0.8536933265410087,0.8532269078204214,,,,,,,,
2,qnli_text,,1,,,,0.932820794435292,0.9327222731439047,,,,,,
3,sst2_text,,1,,,,,,0.9311926605504587,0.9334811529933481,,,,
4,trec_coarse_text,,1,,,,,,,,0.5,0.44936711066841895,,
5,yelp_polarity_text,,1,,,,,,,,,,0.9710263157894737,0.9708552823146359
