,tasks,dbpedia_text_exact_match,best_coef,dbpedia_text_macro_f1,mnli_text_exact_match,mnli_text_macro_f1,qnli_text_exact_match,qnli_text_f1,sst2_text_exact_match,sst2_text_f1,trec_coarse_text_exact_match,trec_coarse_text_macro_f1,yelp_polarity_text_exact_match,yelp_polarity_text_f1
0,dbpedia_text,0.9904571428571428,1,0.9904611371932136,,,,,,,,,,
1,mnli_text,,1,,0.8483953132959755,0.8481501585560499,,,,,,,,
2,qnli_text,,1,,,,0.9313563975837452,0.9310281405186683,,,,,,
3,sst2_text,,1,,,,,,0.9323394495412844,0.9330306469920545,,,,
4,trec_coarse_text,,1,,,,,,,,0.096,0.24375268125268124,,
5,yelp_polarity_text,,1,,,,,,,,,,0.9693684210526315,0.969573400250941
