,tasks,dbpedia_text_exact_match,best_coef,dbpedia_text_macro_f1,mnli_text_exact_match,mnli_text_macro_f1,qnli_text_exact_match,qnli_text_f1,sst2_text_exact_match,sst2_text_f1,trec_coarse_text_exact_match,trec_coarse_text_macro_f1,yelp_polarity_text_exact_match,yelp_polarity_text_f1
0,dbpedia_text,0.9907714285714285,1.0,0.9907702184769559,,,,,,,,,,
1,dbpedia_text qnli_text,0.9569285714285715,0.35000000000000003,0.9602007756746549,,,0.8347062053816584,0.810890052356021,,,,,,
2,dbpedia_text sst2_text,0.9904,0.9,0.9904000452425874,,,,,0.0,0.0,,,,
3,dbpedia_text trec_coarse_text,0.9898714285714286,0.6000000000000001,0.9898700673291886,,,,,,,0.0,0.0,,
4,mnli_text,,1.0,,0.8548140601120734,0.8538799238339495,,,,,,,,
5,mnli_text dbpedia_text,0.7959571428571428,0.75,0.7933013713486098,0.5504839531329597,0.5011070489546868,,,,,,,,
6,mnli_text qnli_text,,0.75,,0.8434029546612328,0.8436621005762969,0.8841295991213619,0.8913304721030043,,,,,,
7,mnli_text sst2_text,,1.0,,0.8528782475802343,0.8523130469838044,,,0.0,0.0,,,,
8,mnli_text trec_coarse_text,,0.6000000000000001,,0.8485990830361692,0.8484639891657597,,,,,0.0,0.0,,
9,mnli_text yelp_polarity_text,,1.0,,0.6037697401935812,0.6040640719576084,,,,,,,0.9633684210526315,0.9636021336680263
10,qnli_text,,1.0,,,,0.9319055464030752,0.9322651128914786,,,,,,
11,qnli_text sst2_text,,0.55,,,,0.9256818597840014,0.9239415511427501,0.9369266055045872,0.9386845039018953,,,,
12,qnli_text trec_coarse_text,,0.7000000000000001,,,,0.9313563975837452,0.931230515312672,,,0.068,0.0882936507936508,,
13,sst2_text,,1.0,,,,,,0.9392201834862385,0.9409141583054627,,,,
14,trec_coarse_text,,1.0,,,,,,,,0.952,0.9556906774502537,,
15,trec_coarse_text sst2_text,,0.8,,,,,,0.9369266055045872,0.9382716049382717,0.0,0.0,,
16,yelp_polarity_text,,1.0,,,,,,,,,,0.9715263157894737,0.9715965768887489
17,yelp_polarity_text dbpedia_text,0.01657142857142857,0.9,0.0298089745201244,,,,,,,,,0.9376842105263158,0.9405920722528851
18,yelp_polarity_text qnli_text,,0.5,,,,0.9165293794618341,0.919062832800852,,,,,0.9612105263157895,0.961884567645842
19,yelp_polarity_text sst2_text,,0.45,,,,,,0.8990825688073395,0.8993135011441648,,,0.9649736842105263,0.9651178027622717
20,yelp_polarity_text trec_coarse_text,,0.8500000000000001,,,,,,,,0.0,0.0,0.9701578947368421,0.9703281176409022
