,tasks,dbpedia_text_exact_match,best_coef,dbpedia_text_macro_f1,mnli_text_exact_match,mnli_text_macro_f1,qnli_text_exact_match,qnli_text_f1,sst2_text_exact_match,sst2_text_f1,trec_coarse_text_exact_match,trec_coarse_text_macro_f1,yelp_polarity_text_exact_match,yelp_polarity_text_f1
0,dbpedia_text,0.9901428571428571,1.0,0.9901463396558566,,,,,,,,,,
1,dbpedia_text qnli_text,0.9824285714285714,0.4,0.983507485331245,,,0.7420831045213253,0.6626765621259276,,,,,,
2,dbpedia_text sst2_text,0.9901857142857143,0.9,0.990188221667612,,,,,0.0,0.0,,,,
3,dbpedia_text trec_coarse_text,0.9900428571428571,0.8,0.9900596641762374,,,,,,,0.0,0.0,,
4,mnli_text,,1.0,,0.8548140601120734,0.8540454909500745,,,,,,,,
5,mnli_text dbpedia_text,0.7422,0.55,0.7273449461538507,0.546917982679572,0.5458104687007473,,,,,,,,
6,mnli_text qnli_text,,0.9500000000000001,,0.8490066225165563,0.848980570975435,0.90591250228812,0.9091230551626591,,,,,,
7,mnli_text sst2_text,,0.8500000000000001,,0.8535914416709118,0.8531995751409248,,,0.0,0.0,,,,
8,mnli_text trec_coarse_text,,0.75,,0.8522669383596536,0.851805471511097,,,,,0.0,0.0,,
9,mnli_text yelp_polarity_text,,0.1,,0.6040753948038716,0.6042820232678251,,,,,,,0.9196315789473685,0.9161265516862573
10,qnli_text,,1.0,,,,0.9335529928610653,0.9338195077484046,,,,,,
11,qnli_text sst2_text,,0.4,,,,0.9275123558484349,0.9259536275243082,0.9346330275229358,0.9368770764119602,,,,
12,qnli_text trec_coarse_text,,0.25,,,,0.9265971078162182,0.9253119761594338,,,0.0,0.0,,
13,sst2_text,,1.0,,,,,,0.9380733944954128,0.9397321428571428,,,,
14,trec_coarse_text,,1.0,,,,,,,,0.948,0.9531685498451977,,
15,trec_coarse_text sst2_text,,0.45,,,,,,0.9380733944954128,0.9391891891891891,0.0,0.0,,
16,yelp_polarity_text,,1.0,,,,,,,,,,0.9715,0.9714692167865329
17,yelp_polarity_text dbpedia_text,0.0003857142857142857,1.0,0.000768328200270761,,,,,,,,,0.9583157894736842,0.9582740635372214
18,yelp_polarity_text qnli_text,,0.30000000000000004,,,,0.917993776313381,0.916759568933482,,,,,0.9517105263157895,0.9529064545104581
19,yelp_polarity_text sst2_text,,0.5,,,,,,0.911697247706422,0.9139664804469274,,,0.9673684210526315,0.9675528574419091
20,yelp_polarity_text trec_coarse_text,,0.45,,,,,,,,0.0,0.0,0.9658947368421053,0.966204234901429
