,tasks,dbpedia_text_exact_match,dbpedia_text_macro_f1,mnli_text_exact_match,mnli_text_macro_f1,qnli_text_exact_match,qnli_text_f1,sst2_text_exact_match,sst2_text_f1,trec_coarse_text_exact_match,trec_coarse_text_macro_f1,yelp_polarity_text_exact_match,yelp_polarity_text_f1
0,dbpedia_text,0.9906,0.990595616842655,,,,,,,,,,
1,dbpedia_text mnli_text,0.8914428571428571,0.8676080512092975,0.5760570555272542,0.5852329742219577,,,,,,,,
2,dbpedia_text sst2_text,0.9899857142857142,0.9899805458334845,,,,,0.0,0.0,,,,
3,mnli_text,,,0.8551197147223637,0.8540029262351855,,,,,,,,
4,mnli_text sst2_text,,,0.8518593988792664,0.8514733677960428,,,0.0,0.0,,,,
5,qnli_text,,,,,0.9344682408932821,0.9346476816356335,,,,,,
6,qnli_text dbpedia_text,0.9672857142857143,0.9683440784319114,,,0.7395204100311185,0.6593248743117069,,,,,,
7,qnli_text mnli_text,,,0.8530820173204279,0.8526383548475285,0.9251327109646714,0.9270033910405141,,,,,,
8,qnli_text sst2_text,,,,,0.9280615046677649,0.9265832243601719,0.9357798165137615,0.9370786516853933,,,,
9,qnli_text trec_coarse_text,,,,,0.9331868936481786,0.9334791324949882,,,0.06,0.08961038961038963,,
10,qnli_text yelp_polarity_text,,,,,0.9220208676551346,0.9215758468335788,,,,,0.9566842105263158,0.9575620069097097
11,sst2_text,,,,,,,0.9380733944954128,0.9400000000000001,,,,
12,trec_coarse_text,,,,,,,,,0.696,0.5958328054059762,,
13,trec_coarse_text dbpedia_text,0.9907571428571429,0.9907516680779777,,,,,,,0.0,0.0,,
14,trec_coarse_text mnli_text,,,0.8513499745287825,0.8508840206191058,,,,,0.0,0.0,,
15,trec_coarse_text sst2_text,,,,,,,0.9357798165137615,0.9379157427937918,0.0,0.0,,
16,trec_coarse_text yelp_polarity_text,,,,,,,,,0.0,0.0,0.9705789473684211,0.9705696535748131
17,yelp_polarity_text,,,,,,,,,,,0.9707894736842105,0.9707263041299646
18,yelp_polarity_text dbpedia_text,0.0,0.0,,,,,,,,,0.931,0.9346460618145563
19,yelp_polarity_text mnli_text,,,0.5996943453897097,0.5975710231318678,,,,,,,0.9323684210526316,0.9324288794236735
20,yelp_polarity_text sst2_text,,,,,,,0.926605504587156,0.9274376417233561,,,0.9525,0.9527968827636706
