,tasks,dbpedia_text_exact_match,dbpedia_text_macro_f1,mnli_text_exact_match,mnli_text_macro_f1,qnli_text_exact_match,qnli_text_f1,sst2_text_exact_match,sst2_text_f1,trec_coarse_text_exact_match,trec_coarse_text_macro_f1,yelp_polarity_text_exact_match,yelp_polarity_text_f1
0,dbpedia_text,0.9902428571428571,0.9902396487165028,,,,,,,,,,
1,dbpedia_text mnli_text,0.8702714285714286,0.8973922526912664,0.6059093224656139,0.618560047178413,,,,,,,,
2,dbpedia_text sst2_text,0.9898857142857143,0.9898915457098517,,,,,0.0,0.0,,,,
3,mnli_text,,,0.8548140601120734,0.8539976703292661,,,,,,,,
4,mnli_text sst2_text,,,0.8266938359653592,0.8280364300742331,,,0.8681192660550459,0.8783068783068784,,,,
5,qnli_text,,,,,0.9331868936481786,0.9333576775607084,,,,,,
6,qnli_text dbpedia_text,0.9527,0.9533391332813596,,,0.8304960644334615,0.8025586353944563,,,,,,
7,qnli_text mnli_text,,,0.8482934284258787,0.8485076533540626,0.8949295259015193,0.9003126085446336,,,,,,
8,qnli_text sst2_text,,,,,0.9324546952224053,0.9320316817093388,0.9369266055045872,0.9393605292171995,,,,
9,qnli_text trec_coarse_text,,,,,0.9262310086033315,0.9248554913294798,,,0.032,0.054421768707483,,
10,qnli_text yelp_polarity_text,,,,,0.924400512538898,0.9237303785780239,,,,,0.963,0.963259119891293
11,sst2_text,,,,,,,0.9415137614678899,0.9427609427609427,,,,
12,trec_coarse_text,,,,,,,,,0.704,0.5878186117123342,,
13,trec_coarse_text dbpedia_text,0.9884,0.9883926267909963,,,,,,,0.0,0.0,,
14,trec_coarse_text mnli_text,,,0.8558329088130413,0.8552674473063854,,,,,0.0,0.0,,
15,trec_coarse_text sst2_text,,,,,,,0.9403669724770642,0.9415730337078653,0.0,0.0,,
16,trec_coarse_text yelp_polarity_text,,,,,,,,,0.0,0.0,0.9720526315789474,0.9720864217000473
17,yelp_polarity_text,,,,,,,,,,,0.9721578947368421,0.9721417662857443
18,yelp_polarity_text dbpedia_text,0.05242857142857143,0.07562412252382408,,,,,,,,,0.9471842105263157,0.9484446042795859
19,yelp_polarity_text mnli_text,,,0.6035659704533877,0.6009644445597742,,,,,,,0.9395789473684211,0.9391723626344514
20,yelp_polarity_text sst2_text,,,,,,,0.9185779816513762,0.9203142536475869,,,0.9555789473684211,0.955258693808312
