,tasks,dbpedia_text_exact_match,dbpedia_text_macro_f1,mnli_text_exact_match,mnli_text_macro_f1,qnli_text_exact_match,qnli_text_f1,sst2_text_exact_match,sst2_text_f1,trec_coarse_text_exact_match,trec_coarse_text_macro_f1,yelp_polarity_text_exact_match,yelp_polarity_text_f1
0,dbpedia_text,0.9901428571428571,0.9901434506621019,,,,,,,,,,
1,dbpedia_text mnli_text,0.8679714285714286,0.8596985253638046,0.6256749872643912,0.6318000317440814,,,,,,,,
2,dbpedia_text sst2_text,0.9903285714285714,0.9903302260137874,,,,,0.0,0.0,,,,
3,mnli_text,,,0.8543046357615894,0.8534946823939209,,,,,,,,
4,mnli_text sst2_text,,,0.8508405501782985,0.8505749070017118,,,0.0,0.0,,,,
5,qnli_text,,,,,0.9341021416803954,0.9342105263157895,,,,,,
6,qnli_text dbpedia_text,0.9480714285714286,0.9580179012101668,,,0.76203551162365,0.6964035497431107,,,,,,
7,qnli_text mnli_text,,,0.8480896586856852,0.8483106806637631,0.9002379644883763,0.9046035357955539,,,,,,
8,qnli_text sst2_text,,,,,0.9331868936481786,0.9333089713137219,0.9311926605504587,0.9330357142857142,,,,
9,qnli_text trec_coarse_text,,,,,0.9240344133260113,0.9222409593404535,,,0.0,0.0,,
10,qnli_text yelp_polarity_text,,,,,0.9181768259198243,0.9210665724880804,,,,,0.9683157894736842,0.968340783591901
11,sst2_text,,,,,,,0.9403669724770642,0.941834451901566,,,,
12,trec_coarse_text,,,,,,,,,0.84,0.7120711594395804,,
13,trec_coarse_text dbpedia_text,0.9899,0.9898991421431271,,,,,,,0.0,0.0,,
14,trec_coarse_text mnli_text,,,0.8533876719307183,0.8528472577703585,,,,,0.0,0.0,,
15,trec_coarse_text sst2_text,,,,,,,0.9392201834862385,0.9406494960806272,0.0,0.0,,
16,trec_coarse_text yelp_polarity_text,,,,,,,,,0.0,0.0,0.9716052631578947,0.9715835769402965
17,yelp_polarity_text,,,,,,,,,,,0.9722631578947368,0.9721796969856938
18,yelp_polarity_text dbpedia_text,0.0,0.0,,,,,,,,,0.9576578947368422,0.9582001922427454
19,yelp_polarity_text mnli_text,,,0.6029546612328069,0.6003318043250699,,,,,,,0.9618157894736842,0.9623087513312725
20,yelp_polarity_text sst2_text,,,,,,,0.9185779816513762,0.9195922989807475,,,0.958,0.9582504970178926
