,tasks,dbpedia_text_exact_match,dbpedia_text_macro_f1,mnli_text_exact_match,mnli_text_macro_f1,qnli_text_exact_match,qnli_text_f1,sst2_text_exact_match,sst2_text_f1,trec_coarse_text_exact_match,trec_coarse_text_macro_f1,yelp_polarity_text_exact_match,yelp_polarity_text_f1
0,dbpedia_text,0.9910857142857142,0.9910791567574796,,,,,,,,,,
1,dbpedia_text mnli_text,0.8093571428571429,0.7857274761913142,0.5725929699439634,0.5612739192552882,,,,,,,,
2,dbpedia_text sst2_text,0.9900571428571429,0.9900495204330191,,,,,0.0,0.0,,,,
3,mnli_text,,,0.8554253693326541,0.8544002443229783,,,,,,,,
4,mnli_text sst2_text,,,0.8541008660213958,0.8537651768515868,,,0.0,0.0,,,,
5,qnli_text,,,,,0.9342851912868387,0.9345964656585899,,,,,,
6,qnli_text dbpedia_text,0.9774714285714285,0.977911843243359,,,0.7257916895478674,0.6317600786627335,,,,,,
7,qnli_text mnli_text,,,0.8505348955680081,0.8506427936770468,0.9015193117334798,0.905281690140845,,,,,,
8,qnli_text sst2_text,,,,,0.9295259015193117,0.9287960051784724,0.9346330275229358,0.9368770764119602,,,,
9,qnli_text trec_coarse_text,,,,,0.9335529928610653,0.9333578116394345,,,0.008,0.015503875968992248,,
10,qnli_text yelp_polarity_text,,,,,0.9220208676551346,0.9234363767074047,,,,,0.9532631578947368,0.9545477811332345
11,sst2_text,,,,,,,0.9311926605504587,0.9328859060402684,,,,
12,trec_coarse_text,,,,,,,,,0.752,0.6121886539844321,,
13,trec_coarse_text dbpedia_text,0.9905714285714285,0.9905636280571161,,,,,,,0.0,0.0,,
14,trec_coarse_text mnli_text,,,0.8519612837493632,0.8519015637598114,,,,,0.0,0.0,,
15,trec_coarse_text sst2_text,,,,,,,0.930045871559633,0.9318435754189943,0.0,0.0,,
16,trec_coarse_text yelp_polarity_text,,,,,,,,,0.0,0.0,0.9644473684210526,0.9647028086218158
17,yelp_polarity_text,,,,,,,,,,,0.9717631578947369,0.9716789400058068
18,yelp_polarity_text dbpedia_text,2.857142857142857e-05,5.712000913920147e-05,,,,,,,,,0.955,0.955704072116879
19,yelp_polarity_text mnli_text,,,0.5990830361691288,0.5833680941384116,,,,,,,0.964078947368421,0.9638305201515672
20,yelp_polarity_text sst2_text,,,,,,,0.9174311926605505,0.9191011235955056,,,0.9598684210526316,0.9605300618578048
