,tasks,dbpedia_text_exact_match,dbpedia_text_macro_f1,mnli_text_exact_match,mnli_text_macro_f1,qnli_text_exact_match,qnli_text_f1,sst2_text_exact_match,sst2_text_f1,trec_coarse_text_exact_match,trec_coarse_text_macro_f1,yelp_polarity_text_exact_match,yelp_polarity_text_f1
0,dbpedia_text,0.9906714285714285,0.9906653421851077,,,,,,,,,,
1,dbpedia_text mnli_text,0.5811714285714286,0.597398541095532,0.687111563932756,0.6877759753854598,,,,,,,,
2,dbpedia_text sst2_text,0.9906285714285714,0.9906263275960389,,,,,0.0,0.0,,,,
3,mnli_text,,,0.8533876719307183,0.8524901219152191,,,,,,,,
4,mnli_text sst2_text,,,0.8532857870606215,0.8527942218729384,,,0.0,0.0,,,,
5,qnli_text,,,,,0.9322716456159619,0.9324571011317998,,,,,,
6,qnli_text dbpedia_text,0.9707142857142858,0.9709117110487345,,,0.7977301848801025,0.7546080390850545,,,,,,
7,qnli_text mnli_text,,,0.8467651553744269,0.8469003028385537,0.8892549881017756,0.8956716675288843,,,,,,
8,qnli_text sst2_text,,,,,0.929159802306425,0.9280267807327506,0.9357798165137615,0.9376391982182628,,,,
9,qnli_text trec_coarse_text,,,,,0.9300750503386418,0.9294161123429416,,,0.016,0.029629629629629627,,
10,qnli_text yelp_polarity_text,,,,,0.920190371590701,0.9204959883296863,,,,,0.9628421052631579,0.9632138390996248
11,sst2_text,,,,,,,0.9369266055045872,0.939091915836102,,,,
12,trec_coarse_text,,,,,,,,,0.776,0.6679930394162884,,
13,trec_coarse_text dbpedia_text,0.9905571428571428,0.9905521864672544,,,,,,,0.0,0.0,,
14,trec_coarse_text mnli_text,,,0.8530820173204279,0.8526781121374158,,,,,0.0,0.0,,
15,trec_coarse_text sst2_text,,,,,,,0.9403669724770642,0.9429824561403509,0.0,0.0,,
16,trec_coarse_text yelp_polarity_text,,,,,,,,,0.0,0.0,0.9709210526315789,0.9709600273317389
17,yelp_polarity_text,,,,,,,,,,,0.9712368421052632,0.9712693531004389
18,yelp_polarity_text dbpedia_text,0.0,0.0,,,,,,,,,0.956078947368421,0.9565805562059367
19,yelp_polarity_text mnli_text,,,0.6470708099847172,0.6510504585499423,,,,,,,0.9573684210526315,0.9581827568404748
20,yelp_polarity_text sst2_text,,,,,,,0.8944954128440367,0.8959276018099547,,,0.9701842105263158,0.9703022201252917
