,tasks,dbpedia_text_exact_match,dbpedia_text_macro_f1,mnli_text_exact_match,mnli_text_macro_f1,qnli_text_exact_match,qnli_text_f1,sst2_text_exact_match,sst2_text_f1,trec_coarse_text_exact_match,trec_coarse_text_macro_f1,yelp_polarity_text_exact_match,yelp_polarity_text_f1
0,dbpedia_text,0.9907714285714285,0.9907702184769559,,,,,,,,,,
1,dbpedia_text mnli_text,0.7959571428571428,0.7933013713486098,0.5504839531329597,0.5011070489546868,,,,,,,,
2,dbpedia_text sst2_text,0.9904,0.9904000452425874,,,,,0.0,0.0,,,,
3,mnli_text,,,0.8548140601120734,0.8538799238339495,,,,,,,,
4,mnli_text sst2_text,,,0.8528782475802343,0.8523130469838044,,,0.0,0.0,,,,
5,qnli_text,,,,,0.9319055464030752,0.9322651128914786,,,,,,
6,qnli_text dbpedia_text,0.9569285714285715,0.9602007756746549,,,0.8347062053816584,0.810890052356021,,,,,,
7,qnli_text mnli_text,,,0.8434029546612328,0.8436621005762969,0.8841295991213619,0.8913304721030043,,,,,,
8,qnli_text sst2_text,,,,,0.9256818597840014,0.9239415511427501,0.9369266055045872,0.9386845039018953,,,,
9,qnli_text trec_coarse_text,,,,,0.9282445542742083,0.9272727272727272,,,0.0,0.0,,
10,qnli_text yelp_polarity_text,,,,,0.9165293794618341,0.919062832800852,,,,,0.9612105263157895,0.961884567645842
11,sst2_text,,,,,,,0.9392201834862385,0.9409141583054627,,,,
12,trec_coarse_text,,,,,,,,,0.788,0.6732277224784854,,
13,trec_coarse_text dbpedia_text,0.9907142857142858,0.9907146519362353,,,,,,,0.0,0.0,,
14,trec_coarse_text mnli_text,,,0.8528782475802343,0.8523094020115028,,,,,0.0,0.0,,
15,trec_coarse_text sst2_text,,,,,,,0.9392201834862385,0.9406494960806272,0.0,0.0,,
16,trec_coarse_text yelp_polarity_text,,,,,,,,,0.0,0.0,0.9711578947368421,0.971272803522751
17,yelp_polarity_text,,,,,,,,,,,0.9715263157894737,0.9715965768887489
18,yelp_polarity_text dbpedia_text,0.01657142857142857,0.0298089745201244,,,,,,,,,0.9376842105263158,0.9405920722528851
19,yelp_polarity_text mnli_text,,,0.6037697401935812,0.6040640719576084,,,,,,,0.9633684210526315,0.9636021336680263
20,yelp_polarity_text sst2_text,,,,,,,0.8990825688073395,0.8993135011441648,,,0.9649736842105263,0.9651178027622717
