,tasks,dbpedia_text_exact_match,dbpedia_text_macro_f1,mnli_text_exact_match,mnli_text_macro_f1,qnli_text_exact_match,qnli_text_f1,sst2_text_exact_match,sst2_text_f1,trec_coarse_text_exact_match,trec_coarse_text_macro_f1,yelp_polarity_text_exact_match,yelp_polarity_text_f1
0,dbpedia_text,0.9909285714285714,0.9909230931702194,,,,,,,,,,
1,dbpedia_text mnli_text,0.8802428571428571,0.8603313647739457,0.6192562404482934,0.6212924447662593,,,,,,,,
2,dbpedia_text sst2_text,0.9908,0.9907879816836641,,,,,0.0,0.0,,,,
3,mnli_text,,,0.8530820173204279,0.8522192472566097,,,,,,,,
4,mnli_text sst2_text,,,0.85206316861946,0.8518792439803066,,,0.0,0.0,,,,
5,qnli_text,,,,,0.9335529928610653,0.9338195077484046,,,,,,
6,qnli_text dbpedia_text,0.9670285714285715,0.9670723879492468,,,0.8843126487278052,0.8749505342303127,,,,,,
7,qnli_text mnli_text,,,0.8456444218033622,0.8459431346552613,0.9017023613399231,0.9071416219955041,,,,,,
8,qnli_text sst2_text,,,,,0.9306241991579718,0.929619312906221,0.9311926605504587,0.9328859060402684,,,,
9,qnli_text trec_coarse_text,,,,,0.9287937030935384,0.9280296022201665,,,0.0,0.0,,
10,qnli_text yelp_polarity_text,,,,,0.9245835621453414,0.9268725594604188,,,,,0.9614736842105264,0.9613944412214546
11,sst2_text,,,,,,,0.9369266055045872,0.9392265193370165,,,,
12,trec_coarse_text,,,,,,,,,0.668,0.5709270190084561,,
13,trec_coarse_text dbpedia_text,0.9903285714285714,0.9903243064069525,,,,,,,0.0,0.0,,
14,trec_coarse_text mnli_text,,,0.8534895568008151,0.8527348855553614,,,,,0.0,0.0,,
15,trec_coarse_text sst2_text,,,,,,,0.9415137614678899,0.9431438127090301,0.0,0.0,,
16,trec_coarse_text yelp_polarity_text,,,,,,,,,0.0,0.0,0.968657894736842,0.9685909438540046
17,yelp_polarity_text,,,,,,,,,,,0.9711842105263158,0.9711804184761152
18,yelp_polarity_text dbpedia_text,0.0,0.0,,,,,,,,,0.944921052631579,0.9467579049121111
19,yelp_polarity_text mnli_text,,,0.6183392766174223,0.6128490895253421,,,,,,,0.9478684210526316,0.9463623317899981
20,yelp_polarity_text sst2_text,,,,,,,0.9071100917431193,0.9065743944636678,,,0.9697894736842105,0.9699460704748938
