,DBPedia,MNLI,QNLI,SST2,TREC,Yelp
DBPedia,0.1,0.03,0.02,0.02,0.03,0.04
MNLI,0.03,0.09,0.04,0.03,0.03,0.03
QNLI,0.02,0.04,0.07,0.04,0.03,0.02
SST2,0.02,0.03,0.03,0.06,0.03,0.03
TREC,0.03,0.03,0.03,0.03,0.05,0.02
Yelp,0.04,0.03,0.02,0.03,0.02,0.08
