,DBPedia,MNLI,QNLI,SST2,TREC,Yelp
DBPedia,0.02,0.01,0.0,0.0,0.01,0.01
MNLI,0.01,0.01,0.01,0.0,0.0,0.01
QNLI,0.0,0.01,0.01,0.0,0.01,0.0
SST2,0.0,0.0,0.0,0.01,0.0,0.0
TREC,0.01,0.0,0.0,0.01,0.01,0.0
Yelp,0.01,0.01,0.01,0.01,0.0,0.01
