,DBPedia,MNLI,QNLI,SST2,TREC,Yelp
DBPedia,0.02,,,,,
MNLI,0.02,0.01,,,,
QNLI,0.01,0.02,0.01,,,
SST2,0.01,0.01,0.01,0.02,,
TREC,0.03,0.03,0.03,0.02,0.01,
Yelp,0.01,0.01,0.01,0.01,0.01,0.01
