,tasks,dbpedia_accuracy,mnli_accuracy,qnli_accuracy,sst2_accuracy,trec_coarse_accuracy,yelp_polarity_accuracy
0,dbpedia,0.9894142857142857,,,,,
1,mnli,,0.8433010697911361,,,,
2,qnli,,,0.8337909573494418,,,
3,sst2,,,,0.7786697247706422,,
4,trec_coarse,,,,,0.0,
5,yelp_polarity,,,,,,0.9682368421052632
