,tasks,dbpedia_accuracy,mnli_accuracy,qnli_accuracy,sst2_accuracy,trec_coarse_accuracy,yelp_polarity_accuracy
0,dbpedia,0.9893,,,,,
1,mnli,,0.8474783494651045,,,,
2,qnli,,,0.900054914881933,,,
3,sst2,,,,0.7947247706422018,,
4,trec_coarse,,,,,0.0,
5,yelp_polarity,,,,,,0.9682631578947368
