,tasks,dbpedia_accuracy,mnli_accuracy,qnli_accuracy,sst2_accuracy,trec_coarse_accuracy,yelp_polarity_accuracy
0,dbpedia,0.9903571428571428,,,,,
1,mnli,,0.8468670402445236,,,,
2,qnli,,,0.9070107999267801,,,
3,sst2,,,,0.9036697247706422,,
4,trec_coarse,,,,,0.004,
5,yelp_polarity,,,,,,0.9675526315789473
