,tasks,dbpedia_accuracy,mnli_accuracy,qnli_accuracy,sst2_accuracy,trec_coarse_accuracy,yelp_polarity_accuracy
0,dbpedia,0.9903714285714286,,,,,
1,mnli,,0.8436067244014264,,,,
2,qnli,,,0.9099395936298736,,,
3,sst2,,,,0.9174311926605505,,
4,trec_coarse,,,,,0.004,
5,yelp_polarity,,,,,,0.9604473684210526
