,tasks,dbpedia_accuracy,mnli_accuracy,qnli_accuracy,sst2_accuracy,trec_coarse_accuracy,yelp_polarity_accuracy
0,dbpedia,0.9903428571428572,,,,,
1,mnli,,0.844319918492104,,,,
2,qnli,,,0.9110378912685337,,,
3,sst2,,,,0.6938073394495413,,
4,trec_coarse,,,,,0.032,
5,yelp_polarity,,,,,,0.9679473684210527
