,tasks,dbpedia_accuracy,mnli_accuracy,qnli_accuracy,sst2_accuracy,trec_coarse_accuracy,yelp_polarity_accuracy
0,dbpedia,0.9900857142857142,,,,,
1,mnli,,0.848191543555782,,,,
2,qnli,,,0.8520959179937763,,,
3,sst2,,,,0.9002293577981652,,
4,trec_coarse,,,,,0.004,
5,yelp_polarity,,,,,,0.965078947368421
