,tasks,dbpedia_accuracy,mnli_accuracy,qnli_accuracy,sst2_accuracy,trec_coarse_accuracy,yelp_polarity_accuracy
0,dbpedia,0.9897714285714285,,,,,
1,mnli,,0.8441161487519103,,,,
2,qnli,,,0.8978583196046128,,,
3,sst2,,,,0.8555045871559633,,
4,trec_coarse,,,,,0.016,
5,yelp_polarity,,,,,,0.9683421052631579
