,tasks,dbpedia_accuracy,mnli_accuracy,qnli_accuracy,sst2_accuracy,trec_coarse_accuracy,yelp_polarity_accuracy
0,dbpedia,0.9905142857142857,,,,,
1,mnli,,0.8448293428425879,,,,
2,qnli,,,0.7336628226249313,,,
3,sst2,,,,0.9231651376146789,,
4,trec_coarse,,,,,0.004,
5,yelp_polarity,,,,,,0.9637894736842105
