,tasks,dbpedia_accuracy,mnli_accuracy,qnli_accuracy,sst2_accuracy,trec_coarse_accuracy,yelp_polarity_accuracy
0,dbpedia,0.9899285714285714,,,,,
1,mnli,,0.8461538461538461,,,,
2,qnli,,,0.6558667398865092,,,
3,sst2,,,,0.805045871559633,,
4,trec_coarse,,,,,0.004,
5,yelp_polarity,,,,,,0.9622631578947368
