,tasks,dbpedia_text_exact_match,best_coef,dbpedia_text_macro_f1,mnli_text_exact_match,mnli_text_macro_f1,qnli_text_exact_match,qnli_text_f1,sst2_text_exact_match,sst2_text_f1,trec_coarse_text_exact_match,trec_coarse_text_macro_f1,yelp_polarity_text_exact_match,yelp_polarity_text_f1
0,dbpedia_text,0.9897714285714285,1,0.9897892072185381,,,,,,,,,,
1,mnli_text,,1,,0.8537952114111055,0.8533495929738114,,,,,,,,
2,qnli_text,,1,,,,0.9322716456159619,0.9316081330868761,,,,,,
3,sst2_text,,1,,,,,,0.9357798165137615,0.9375,,,,
4,trec_coarse_text,,1,,,,,,,,0.012,0.021251002405773853,,
5,yelp_polarity_text,,1,,,,,,,,,,0.9701578947368421,0.970312581810566
