,tasks,dbpedia_text_exact_match,best_coef,dbpedia_text_macro_f1,mnli_text_exact_match,mnli_text_macro_f1,qnli_text_exact_match,qnli_text_f1,sst2_text_exact_match,sst2_text_f1,trec_coarse_text_exact_match,trec_coarse_text_macro_f1,yelp_polarity_text_exact_match,yelp_polarity_text_f1
0,dbpedia_text,0.9893571428571428,1,0.9893679599865006,,,,,,,,,,
1,mnli_text,,1,,0.8537952114111055,0.8531636979985837,,,,,,,,
2,qnli_text,,1,,,,0.9342851912868387,0.9346202877435804,,,,,,
3,sst2_text,,1,,,,,,0.9311926605504587,0.931350114416476,,,,
4,trec_coarse_text,,1,,,,,,,,0.0,0.0,,
5,yelp_polarity_text,,1,,,,,,,,,,0.971078947368421,0.9711858629820928
