,tasks,dbpedia_text_exact_match,best_coef,dbpedia_text_macro_f1,mnli_text_exact_match,mnli_text_macro_f1,qnli_text_exact_match,qnli_text_f1,sst2_text_exact_match,sst2_text_f1,trec_coarse_text_exact_match,trec_coarse_text_macro_f1,yelp_polarity_text_exact_match,yelp_polarity_text_f1
0,dbpedia_text,0.9887428571428571,1,0.9887436617172952,,,,,,,,,,
1,mnli_text,,1,,0.8526744778400408,0.8519561501543591,,,,,,,,
2,qnli_text,,1,,,,0.9302580999450851,0.9297954671088999,,,,,,
3,sst2_text,,1,,,,,,0.9323394495412844,0.9356597600872409,,,,
4,trec_coarse_text,,1,,,,,,,,0.0,0.0,,
5,yelp_polarity_text,,1,,,,,,,,,,0.9712368421052632,0.9713446766116981
