,tasks,dbpedia_text_exact_match,best_coef,dbpedia_text_macro_f1,mnli_text_exact_match,mnli_text_macro_f1,qnli_text_exact_match,qnli_text_f1,sst2_text_exact_match,sst2_text_f1,trec_coarse_text_exact_match,trec_coarse_text_macro_f1,yelp_polarity_text_exact_match,yelp_polarity_text_f1
0,dbpedia_text,0.9901,1,0.9901050356211237,,,,,,,,,,
1,mnli_text,,1,,0.85206316861946,0.8516956749778326,,,,,,,,
2,qnli_text,,1,,,,0.9326377448288486,0.9324770642201835,,,,,,
3,sst2_text,,1,,,,,,0.9288990825688074,0.930648769574944,,,,
4,trec_coarse_text,,1,,,,,,,,0.0,0.0,,
5,yelp_polarity_text,,1,,,,,,,,,,0.969657894736842,0.9698648754606519
