,tasks,dbpedia_text_exact_match,best_coef,dbpedia_text_macro_f1,mnli_text_exact_match,mnli_text_macro_f1,qnli_text_exact_match,qnli_text_f1,sst2_text_exact_match,sst2_text_f1,trec_coarse_text_exact_match,trec_coarse_text_macro_f1,yelp_polarity_text_exact_match,yelp_polarity_text_f1
0,dbpedia_text,0.9899714285714286,1,0.9899728582891589,,,,,,,,,,
1,mnli_text,,1,,0.8493122771268466,0.8490894278235283,,,,,,,,
2,qnli_text,,1,,,,0.932820794435292,0.9327469305479201,,,,,,
3,sst2_text,,1,,,,,,0.9231651376146789,0.9264544456641054,,,,
4,trec_coarse_text,,1,,,,,,,,0.0,0.0,,
5,yelp_polarity_text,,1,,,,,,,,,,0.9712631578947368,0.9711751662971176
