,tasks,dbpedia_text_exact_match,best_coef,dbpedia_text_macro_f1,mnli_text_exact_match,mnli_text_macro_f1,qnli_text_exact_match,qnli_text_f1,sst2_text_exact_match,sst2_text_f1,trec_coarse_text_exact_match,trec_coarse_text_macro_f1,yelp_polarity_text_exact_match,yelp_polarity_text_f1
0,dbpedia_text,0.9901285714285715,1,0.990135322875879,,,,,,,,,,
1,mnli_text,,1,,0.8537952114111055,0.8533838490464717,,,,,,,,
2,qnli_text,,1,,,,0.9309902983708584,0.9306092398306645,,,,,,
3,sst2_text,,1,,,,,,0.930045871559633,0.9325966850828729,,,,
4,trec_coarse_text,,1,,,,,,,,0.0,0.0,,
5,yelp_polarity_text,,1,,,,,,,,,,0.9708421052631578,0.9709506580672225
