,tasks,dbpedia_text_exact_match,best_coef,dbpedia_text_macro_f1,mnli_text_exact_match,mnli_text_macro_f1,qnli_text_exact_match,qnli_text_f1,sst2_text_exact_match,sst2_text_f1,trec_coarse_text_exact_match,trec_coarse_text_macro_f1,yelp_polarity_text_exact_match,yelp_polarity_text_f1
0,dbpedia_text,0.9889142857142857,1,0.9889141088118848,,,,,,,,,,
1,mnli_text,,1,,0.8496179317371371,0.8493973678540462,,,,,,,,
2,qnli_text,,1,,,,0.9326377448288486,0.9326254119370193,,,,,,
3,sst2_text,,1,,,,,,0.9288990825688074,0.9304932735426009,,,,
4,trec_coarse_text,,1,,,,,,,,0.0,0.0,,
5,yelp_polarity_text,,1,,,,,,,,,,0.9698157894736842,0.9700357898586692
