,tasks,dbpedia_text_exact_match,best_coef,dbpedia_text_macro_f1,mnli_text_exact_match,mnli_text_macro_f1,qnli_text_exact_match,qnli_text_f1,sst2_text_exact_match,sst2_text_f1,trec_coarse_text_exact_match,trec_coarse_text_macro_f1,yelp_polarity_text_exact_match,yelp_polarity_text_f1
0,dbpedia_text,0.9902428571428571,1,0.9902396487165028,,,,,,,,,,
1,mnli_text,,1,,0.8548140601120734,0.8539976703292661,,,,,,,,
2,qnli_text,,1,,,,0.9331868936481786,0.9333576775607084,,,,,,
3,sst2_text,,1,,,,,,0.9415137614678899,0.9427609427609427,,,,
4,trec_coarse_text,,1,,,,,,,,0.704,0.5878186117123342,,
5,yelp_polarity_text,,1,,,,,,,,,,0.9721578947368421,0.9721417662857443
