,tasks,dbpedia_text_exact_match,best_coef,dbpedia_text_macro_f1,mnli_text_exact_match,mnli_text_macro_f1,qnli_text_exact_match,qnli_text_f1,sst2_text_exact_match,sst2_text_f1,trec_coarse_text_exact_match,trec_coarse_text_macro_f1,yelp_polarity_text_exact_match,yelp_polarity_text_f1
0,dbpedia_text,0.9899142857142857,1,0.9899247285677829,,,,,,,,,,
1,mnli_text,,1,,0.8508405501782985,0.8506418065424072,,,,,,,,
2,qnli_text,,1,,,,0.9322716456159619,0.9328249818445896,,,,,,
3,sst2_text,,1,,,,,,0.9323394495412844,0.9348066298342541,,,,
4,trec_coarse_text,,1,,,,,,,,0.0,0.0,,
5,yelp_polarity_text,,1,,,,,,,,,,0.9711315789473685,0.9712337747476073
