,tasks,dbpedia_text_exact_match,best_coef,dbpedia_text_macro_f1,mnli_text_exact_match,mnli_text_macro_f1,qnli_text_exact_match,qnli_text_f1,sst2_text_exact_match,sst2_text_f1,trec_coarse_text_exact_match,trec_coarse_text_macro_f1,yelp_polarity_text_exact_match,yelp_polarity_text_f1
0,dbpedia_text,0.9906428571428572,1,0.9906470248906694,,,,,,,,,,
1,mnli_text,,1,,0.8530820173204279,0.8523577479396843,,,,,,,,
2,qnli_text,,1,,,,0.9330038440417353,0.9325221238938053,,,,,,
3,sst2_text,,1,,,,,,0.9311926605504587,0.9324324324324325,,,,
4,trec_coarse_text,,1,,,,,,,,0.0,0.0,,
5,yelp_polarity_text,,1,,,,,,,,,,0.9702894736842105,0.9703292948936953
