,tasks,dbpedia_text_exact_match,best_coef,dbpedia_text_macro_f1,mnli_text_exact_match,mnli_text_macro_f1,qnli_text_exact_match,qnli_text_f1,sst2_text_exact_match,sst2_text_f1,trec_coarse_text_exact_match,trec_coarse_text_macro_f1,yelp_polarity_text_exact_match,yelp_polarity_text_f1
0,dbpedia_text,0.9907714285714285,1,0.9907702184769559,,,,,,,,,,
1,mnli_text,,1,,0.8548140601120734,0.8538799238339495,,,,,,,,
2,qnli_text,,1,,,,0.9319055464030752,0.9322651128914786,,,,,,
3,sst2_text,,1,,,,,,0.9392201834862385,0.9409141583054627,,,,
4,trec_coarse_text,,1,,,,,,,,0.788,0.6732277224784854,,
5,yelp_polarity_text,,1,,,,,,,,,,0.9715263157894737,0.9715965768887489
