,first_task,second_task,tasks
0,0.7808189742199353,0.6868171191373634,dbpedia_text mnli_text
1,0.9761509884569458,0.8441250294140716,dbpedia_text qnli_text
2,0.9997014727345097,0.0,dbpedia_text sst2_text
3,0.9995673517891446,0.0,dbpedia_text trec_coarse_text
4,0.00700745885515513,0.9768947396933747,dbpedia_text yelp_polarity_text
5,0.9912567393482513,0.9647423327319791,mnli_text qnli_text
6,0.9945727372489145,0.09267636630394913,mnli_text sst2_text
7,0.9983420010496684,0.0,mnli_text trec_coarse_text
8,0.7184622357936925,0.9762283980714017,mnli_text yelp_polarity_text
9,0.996529139540356,0.9962098055997065,qnli_text sst2_text
10,0.9952349203859127,0.015658747300215985,qnli_text trec_coarse_text
11,0.9866460114518787,0.988366108673276,qnli_text yelp_polarity_text
12,1.0002445286709865,0.0,sst2_text trec_coarse_text
13,0.9718792028365325,0.9903705509507559,sst2_text yelp_polarity_text
14,0.0,0.9981689148924645,trec_coarse_text yelp_polarity_text
