,first_task,second_task,tasks
0,0.1567803232850224,0.056158416959520625,dbpedia_text mnli_text
1,0.011291057251324595,0.05385964419881315,dbpedia_text qnli_text
2,0.0002863454775728107,0.0,dbpedia_text sst2_text
3,0.0007199321182553889,0.0,dbpedia_text trec_coarse_text
4,0.01696489216185195,0.009361817338183002,dbpedia_text yelp_polarity_text
5,0.005173422623872389,0.01216196237905606,mnli_text qnli_text
6,0.009697153341110295,0.29263906195981176,mnli_text sst2_text
7,0.002357647134268872,0.0,mnli_text trec_coarse_text
8,0.01928872602928295,0.014936493469345051,mnli_text yelp_polarity_text
9,0.0028811631861099442,0.0024990356957665604,qnli_text sst2_text
10,0.0031754686922356,0.02699183998598627,qnli_text trec_coarse_text
11,0.0032078640769712184,0.005120055028033325,qnli_text yelp_polarity_text
12,0.004368562479801654,0.0,sst2_text trec_coarse_text
13,0.010413623487893816,0.006156218805032317,sst2_text yelp_polarity_text
14,0.0,0.0025470221617434952,trec_coarse_text yelp_polarity_text
