,tasks,dbpedia_text_exact_match,best_coef,dbpedia_text_macro_f1,mnli_text_exact_match,mnli_text_macro_f1,qnli_text_exact_match,qnli_text_f1,sst2_text_exact_match,sst2_text_f1,trec_coarse_text_exact_match,trec_coarse_text_macro_f1,yelp_polarity_text_exact_match,yelp_polarity_text_f1
0,dbpedia_text,0.9906,1.0,0.990595616842655,,,,,,,,,,
1,dbpedia_text qnli_text,0.9672857142857143,0.35000000000000003,0.9683440784319114,,,0.7395204100311185,0.6593248743117069,,,,,,
2,dbpedia_text trec_coarse_text,0.9907571428571429,0.8500000000000001,0.9907516680779777,,,,,,,0.0,0.0,,
3,mnli_text,,1.0,,0.8551197147223637,0.8540029262351855,,,,,,,,
4,mnli_text dbpedia_text,0.8914428571428571,0.75,0.8676080512092975,0.5760570555272542,0.5852329742219577,,,,,,,,
5,mnli_text qnli_text,,0.8500000000000001,,0.8530820173204279,0.8526383548475285,0.9251327109646714,0.9270033910405141,,,,,,
6,mnli_text sst2_text,,0.75,,0.8518593988792664,0.8514733677960428,,,0.0,0.0,,,,
7,mnli_text trec_coarse_text,,0.6000000000000001,,0.8513499745287825,0.8508840206191058,,,,,0.0,0.0,,
8,mnli_text yelp_polarity_text,,0.15000000000000002,,0.5996943453897097,0.5975710231318678,,,,,,,0.9323684210526316,0.9324288794236735
9,qnli_text,,1.0,,,,0.9344682408932821,0.9346476816356335,,,,,,
10,sst2_text,,1.0,,,,,,0.9380733944954128,0.9400000000000001,,,,
11,sst2_text dbpedia_text,0.9899857142857142,0.75,0.9899805458334845,,,,,0.0,0.0,,,,
12,sst2_text qnli_text,,0.75,,,,0.9280615046677649,0.9265832243601719,0.9357798165137615,0.9370786516853933,,,,
13,sst2_text trec_coarse_text,,0.55,,,,,,0.9357798165137615,0.9379157427937918,0.0,0.0,,
14,trec_coarse_text,,1.0,,,,,,,,0.696,0.5958328054059762,,
15,trec_coarse_text qnli_text,,0.7000000000000001,,,,0.9331868936481786,0.9334791324949882,,,0.06,0.08961038961038963,,
16,yelp_polarity_text,,1.0,,,,,,,,,,0.9707894736842105,0.9707263041299646
17,yelp_polarity_text dbpedia_text,0.0,1.0,0.0,,,,,,,,,0.931,0.9346460618145563
18,yelp_polarity_text qnli_text,,0.35000000000000003,,,,0.9220208676551346,0.9215758468335788,,,,,0.9566842105263158,0.9575620069097097
19,yelp_polarity_text sst2_text,,0.25,,,,,,0.926605504587156,0.9274376417233561,,,0.9525,0.9527968827636706
20,yelp_polarity_text trec_coarse_text,,0.9500000000000001,,,,,,,,0.0,0.0,0.9705789473684211,0.9705696535748131
