,tasks,dbpedia_accuracy,mnli_accuracy,qnli_accuracy,sst2_accuracy,trec_coarse_accuracy,yelp_polarity_accuracy
0,dbpedia,0.9905142857142857,,,,,
1,mnli,,0.8449312277126847,,,,
2,mnli dbpedia,0.14227142857142858,0.7331635252165053,,,,
3,qnli,,,0.9298920007321985,,,
4,qnli dbpedia,0.9670428571428571,,0.3653670144609189,,,
5,qnli mnli,,0.8428935303107489,0.8546586124839831,,,
6,qnli sst2,,,0.9269632070291048,0.5091743119266054,,
7,qnli trec_coarse,,,0.9265971078162182,,0.184,
8,qnli yelp_polarity,,,0.7607541643785466,,,0.8978947368421053
9,sst2,,,,0.9208715596330275,,
10,sst2 dbpedia,0.9623857142857143,,,0.4105504587155963,,
11,sst2 mnli,,0.83841059602649,,0.5378440366972477,,
12,trec_coarse,,,,,0.952,
13,trec_coarse dbpedia,0.9727142857142858,,,,0.084,
14,trec_coarse mnli,,0.8398369842078451,,,0.32,
15,trec_coarse sst2,,,,0.9105504587155964,0.06,
16,trec_coarse yelp_polarity,,,,,0.132,0.9372105263157895
17,yelp_polarity,,,,,,0.969078947368421
18,yelp_polarity dbpedia,0.07142857142857142,,,,,0.593
19,yelp_polarity mnli,,0.3697401935812532,,,,0.5
20,yelp_polarity sst2,,,,0.8979357798165137,,0.9638684210526316
