,first_task,second_task,tasks
0,0.9978381494559344,0.07116178494200902,dbpedia qnli
1,0.9888736758665421,0.29863692688971494,dbpedia sst2
2,0.9997982272825539,0.07563025210084033,dbpedia trec_coarse
3,0.13821431145060173,0.8902976546770418,dbpedia yelp_polarity
4,0.4806912991656734,0.12066008503278808,mnli dbpedia
5,0.9153754469606674,0.8907017888735992,mnli qnli
6,0.9833134684147794,0.5551425030978934,mnli sst2
7,0.9978545887961858,0.3865546218487395,mnli trec_coarse
8,0.5098927294398092,0.946536431408826,mnli yelp_polarity
9,0.9811283664242184,0.5501858736059478,qnli sst2
10,0.9923333988598385,0.19327731092436976,qnli trec_coarse
11,0.033613445378151266,0.9752168525402722,trec_coarse sst2
12,0.9829134243891819,0.6620798112836641,yelp_polarity qnli
13,0.9980138216248569,0.9776951672862453,yelp_polarity sst2
14,0.9978777820101211,0.09243697478991597,yelp_polarity trec_coarse
