,tasks,dbpedia_accuracy,mnli_accuracy,qnli_accuracy,sst2_accuracy,trec_coarse_accuracy,yelp_polarity_accuracy
0,dbpedia,0.9907857142857143,,,,,
1,mnli,,0.844727457972491,,,,
2,mnli dbpedia,0.11215714285714286,0.7268466632705043,,,,
3,qnli,,,0.9315394471901886,,,
4,qnli dbpedia,0.9829428571428571,,0.3585941790225151,,,
5,qnli mnli,,0.8253693326541008,0.6871682225883214,,,
6,qnli sst2,,,0.9284276038806517,0.5091743119266054,,
7,qnli trec_coarse,,,0.928610653487095,,0.184,
8,qnli yelp_polarity,,,0.6946732564524987,,,0.9676052631578947
9,sst2,,,,0.9231651376146789,,
10,sst2 dbpedia,0.9883571428571428,,,0.3291284403669725,,
11,sst2 mnli,,0.817014773306164,,0.5527522935779816,,
12,trec_coarse,,,,,0.908,
13,trec_coarse dbpedia,0.9425714285714286,,,,0.188,
14,trec_coarse mnli,,0.833112582781457,,,0.38,
15,trec_coarse sst2,,,,0.908256880733945,0.176,
16,trec_coarse yelp_polarity,,,,,0.144,0.9541052631578948
17,yelp_polarity,,,,,,0.968421052631579
18,yelp_polarity dbpedia,0.08145714285714285,,,,,0.9282631578947368
19,yelp_polarity mnli,,0.47549668874172185,,,,0.6599736842105263
20,yelp_polarity sst2,,,,0.8876146788990825,,0.9676315789473684
