,tasks,dbpedia_accuracy,mnli_accuracy,qnli_accuracy,sst2_accuracy,trec_coarse_accuracy,yelp_polarity_accuracy
0,dbpedia,0.9910285714285715,,,,,
1,dbpedia mnli,0.11757142857142858,0.6610290371879776,,,,
2,mnli,,0.8429954151808456,,,,
3,qnli,,,0.9295259015193117,,,
4,qnli dbpedia,0.9854571428571428,,0.21874427969979865,,,
5,qnli mnli,,0.7495669893020886,0.767343950210507,,,
6,qnli sst2,,,0.9284276038806517,0.7178899082568807,,
7,sst2,,,,0.9277522935779816,,
8,sst2 dbpedia,0.8807714285714285,,,0.4105504587155963,,
9,sst2 mnli,,0.8409577177789098,,0.5229357798165137,,
10,trec_coarse,,,,,0.968,
11,trec_coarse dbpedia,0.9871142857142857,,,,0.048,
12,trec_coarse mnli,,0.8244523688232297,,,0.324,
13,trec_coarse qnli,,,0.9302580999450851,,0.184,
14,trec_coarse sst2,,,,0.9048165137614679,0.172,
15,trec_coarse yelp_polarity,,,,,0.128,0.9658157894736842
16,yelp_polarity,,,,,,0.9695
17,yelp_polarity dbpedia,0.12658571428571427,,,,,0.8512368421052632
18,yelp_polarity mnli,,0.5275598573611818,,,,0.5032368421052632
19,yelp_polarity qnli,,,0.7358594179022515,,,0.9502894736842106
20,yelp_polarity sst2,,,,0.8922018348623854,,0.9666315789473684
