,first_task,second_task,tasks
0,0.026011407503118544,0.10506388913253537,dbpedia mnli
1,0.03516852535558927,0.21057908177366963,dbpedia qnli
2,0.032836906967633715,0.11962195478859379,dbpedia sst2
3,0.02692451264298656,0.05009613472903627,dbpedia trec_coarse
4,0.022999432202030143,0.12503220949271868,dbpedia yelp_polarity
5,0.05699168484836497,0.07959477566255004,mnli qnli
6,0.010367300773096952,0.022255826414866394,mnli sst2
7,0.007775618504217667,0.05224956300698044,mnli trec_coarse
8,0.10341997302465951,0.1700120256833408,mnli yelp_polarity
9,0.00702705497859554,0.08022203866919547,qnli sst2
10,0.001890399392821576,0.0,qnli trec_coarse
11,0.0647450550351743,0.021361412472535514,qnli yelp_polarity
12,0.01406517646030362,0.07739379579202231,sst2 trec_coarse
13,0.008389916712136103,0.00291515445735541,sst2 yelp_polarity
14,0.037073430315423275,0.010003068435280546,trec_coarse yelp_polarity
