,tasks,dbpedia_accuracy,mnli_accuracy,qnli_accuracy,sst2_accuracy,trec_coarse_accuracy,yelp_polarity_accuracy
0,dbpedia,0.9908,,,,,
1,mnli,,0.8439123790117168,,,,
2,mnli dbpedia,0.07142857142857142,0.5970453387671931,,,,
3,qnli,,,0.9319055464030752,,,
4,qnli dbpedia,0.9899,,0.4794069192751236,,,
5,qnli mnli,,0.7697401935812532,0.8724144243089877,,,
6,qnli sst2,,,0.9187259747391543,0.5091743119266054,,
7,qnli trec_coarse,,,0.9322716456159619,,0.184,
8,qnli yelp_polarity,,,0.6944902068460553,,,0.9509473684210527
9,sst2,,,,0.9334862385321101,,
10,sst2 dbpedia,0.9792,,,0.4701834862385321,,
11,sst2 mnli,,0.8370860927152318,,0.5458715596330275,,
12,trec_coarse,,,,,0.74,
13,trec_coarse dbpedia,0.9893428571428572,,,,0.052,
14,trec_coarse mnli,,0.8424859908303617,,,0.312,
15,trec_coarse sst2,,,,0.9231651376146789,0.012,
16,trec_coarse yelp_polarity,,,,,0.036,0.9653421052631579
17,yelp_polarity,,,,,,0.9675789473684211
18,yelp_polarity dbpedia,0.12632857142857143,,,,,0.9185
19,yelp_polarity mnli,,0.4900662251655629,,,,0.6387894736842106
20,yelp_polarity sst2,,,,0.9071100917431193,,0.962
