,first_task,second_task,tasks
0,0.10232611799316438,0.7666087711680416,dbpedia mnli
1,0.9828317205774194,0.26419398611575445,dbpedia qnli
2,0.9745223021790232,0.38477722772277234,dbpedia sst2
3,0.980331107682102,0.10609965635738833,dbpedia trec_coarse
4,0.10371630878387143,0.8795727977992944,dbpedia yelp_polarity
5,0.9138925073575529,0.8770477295522034,mnli qnli
6,0.9890722246345346,0.5883663366336634,mnli sst2
7,0.9914483523906017,0.3487972508591066,mnli trec_coarse
8,0.5761325806918511,0.6896097118097652,mnli yelp_polarity
9,0.9911502684418573,0.5891089108910891,qnli sst2
10,0.9980137269169502,0.19759450171821308,qnli trec_coarse
11,0.725265000294991,0.9856557265644963,qnli yelp_polarity
12,0.9819306930693071,0.06958762886597938,sst2 trec_coarse
13,0.9675742574257427,0.995800283786649,sst2 yelp_polarity
14,0.11769759450171823,0.9915326110002665,trec_coarse yelp_polarity
