,tasks,dbpedia_accuracy,mnli_accuracy,qnli_accuracy,sst2_accuracy,trec_coarse_accuracy,yelp_polarity_accuracy
0,dbpedia,0.9907571428571429,,,,,
1,dbpedia mnli,0.12704285714285715,0.7128884360672441,,,,
2,mnli,,0.84381049414162,,,,
3,qnli,,,0.9308072487644151,,,
4,qnli dbpedia,0.9887571428571429,,0.007138934651290499,,,
5,qnli mnli,,0.7253183902190524,0.8921837818048691,,,
6,qnli sst2,,,0.9251327109646714,0.5091743119266054,,
7,sst2,,,,0.9220183486238532,,
8,sst2 dbpedia,0.9482428571428572,,,0.4954128440366973,,
9,sst2 mnli,,0.829648497198166,,0.5504587155963303,,
10,trec_coarse,,,,,0.968,
11,trec_coarse dbpedia,0.9100428571428572,,,,0.168,
12,trec_coarse mnli,,0.8342333163525216,,,0.384,
13,trec_coarse qnli,,,0.9297089511257551,,0.184,
14,trec_coarse sst2,,,,0.8807339449541285,0.152,
15,trec_coarse yelp_polarity,,,,,0.108,0.9629736842105263
16,yelp_polarity,,,,,,0.969078947368421
17,yelp_polarity dbpedia,0.09728571428571428,,,,,0.9025526315789474
18,yelp_polarity mnli,,0.4084564442180336,,,,0.8937105263157895
19,yelp_polarity qnli,,,0.6544023430349625,,,0.9635
20,yelp_polarity sst2,,,,0.9071100917431193,,0.9586578947368422
