,tasks,dbpedia_accuracy,mnli_accuracy,qnli_accuracy,sst2_accuracy,trec_coarse_accuracy,yelp_polarity_accuracy
0,dbpedia,0.9906857142857143,,,,,
1,dbpedia mnli,0.12067142857142857,0.707997962302598,,,,
2,mnli,,0.8446255731023943,,,,
3,qnli,,,0.9300750503386418,,,
4,qnli dbpedia,0.9897,,0.07779608273842212,,,
5,qnli mnli,,0.8208863983698421,0.7082189273293062,,,
6,qnli sst2,,,0.9260479589968882,0.5091743119266054,,
7,sst2,,,,0.9254587155963303,,
8,sst2 dbpedia,0.9684857142857143,,,0.2947247706422018,,
9,sst2 mnli,,0.826286296484972,,0.5951834862385321,,
10,trec_coarse,,,,,0.96,
11,trec_coarse dbpedia,0.9776142857142858,,,,0.12,
12,trec_coarse mnli,,0.8367804381049414,,,0.32,
13,trec_coarse qnli,,,0.9289767526999817,,0.184,
14,trec_coarse sst2,,,,0.9197247706422018,0.012,
15,trec_coarse yelp_polarity,,,,,0.084,0.9664473684210526
16,yelp_polarity,,,,,,0.9671578947368421
17,yelp_polarity dbpedia,0.13181428571428572,,,,,0.7916315789473685
18,yelp_polarity mnli,,0.6348446255731024,,,,0.6172894736842105
19,yelp_polarity qnli,,,0.6397583745194948,,,0.9635
20,yelp_polarity sst2,,,,0.9036697247706422,,0.9658157894736842
