,tasks,dbpedia_accuracy,mnli_accuracy,qnli_accuracy,sst2_accuracy,trec_coarse_accuracy,yelp_polarity_accuracy
0,dbpedia,0.9909142857142857,,,,,
1,dbpedia mnli,0.08375714285714286,0.43413143148242483,,,,
2,mnli,,0.8425878757004585,,,,
3,qnli,,,0.9308072487644151,,,
4,qnli dbpedia,0.9860142857142857,,0.30770638843126485,,,
5,qnli mnli,,0.72603158430973,0.8702178290316676,,,
6,qnli sst2,,,0.9254988101775581,0.5286697247706422,,
7,sst2,,,,0.930045871559633,,
8,sst2 dbpedia,0.9890714285714286,,,0.30045871559633025,,
9,sst2 mnli,,0.8391237901171676,,0.5194954128440367,,
10,trec_coarse,,,,,0.96,
11,trec_coarse dbpedia,0.9907285714285714,,,,0.084,
12,trec_coarse mnli,,0.832093734080489,,,0.368,
13,trec_coarse qnli,,,0.9269632070291048,,0.184,
14,trec_coarse sst2,,,,0.9231651376146789,0.02,
15,trec_coarse yelp_polarity,,,,,0.144,0.9508157894736842
16,yelp_polarity,,,,,,0.9687631578947369
17,yelp_polarity dbpedia,0.07965714285714286,,,,,0.9508421052631579
18,yelp_polarity mnli,,0.5242995415180846,,,,0.5747368421052632
19,yelp_polarity qnli,,,0.5581182500457624,,,0.9643421052631579
20,yelp_polarity sst2,,,,0.893348623853211,,0.9642368421052632
