,tasks,dbpedia_accuracy,mnli_accuracy,qnli_accuracy,sst2_accuracy,trec_coarse_accuracy,yelp_polarity_accuracy
0,dbpedia,0.9908428571428571,,,,,
1,mnli,,0.8445236882322975,,,,
2,mnli dbpedia,0.07451428571428571,0.645746306673459,,,,
3,qnli,,,0.9322716456159619,,,
4,qnli dbpedia,0.9860285714285715,,0.03752516932088596,,,
5,qnli mnli,,0.7688232297503821,0.7850997620355116,,,
6,qnli sst2,,,0.9200073219842577,0.6479357798165137,,
7,qnli trec_coarse,,,0.9276954054548783,,0.184,
8,qnli yelp_polarity,,,0.7204832509610104,,,0.9630263157894737
9,sst2,,,,0.9243119266055045,,
10,sst2 dbpedia,0.9682285714285714,,,0.30045871559633025,,
11,sst2 mnli,,0.841365257259297,,0.5401376146788991,,
12,trec_coarse,,,,,0.952,
13,trec_coarse dbpedia,0.9910571428571429,,,,0.068,
14,trec_coarse mnli,,0.8430973000509424,,,0.216,
15,trec_coarse sst2,,,,0.9162844036697247,0.008,
16,trec_coarse yelp_polarity,,,,,0.1,0.9651842105263158
17,yelp_polarity,,,,,,0.9683947368421053
18,yelp_polarity dbpedia,0.11322857142857143,,,,,0.94
19,yelp_polarity mnli,,0.587366276107998,,,,0.5102894736842105
20,yelp_polarity sst2,,,,0.8864678899082569,,0.9670263157894737
